Data is Provisional and subject to change. Data presented is reported as of 11/8/2021
CountyName,CumulativeCases,CasesChange,TotalTested,TotalTestedChange,Deaths,DeathsChange,ReportDate
Lawrence,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Lee,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Livingston,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Logan,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Macon,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Macoupin,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Madison,1,1,0,0,0,0,3/18/2020 12:00:00 AM
Marion,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Marshall,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Mason,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Massac,0,0,0,0,0,0,3/18/2020 12:00:00 AM
McDonough,0,0,0,0,0,0,3/18/2020 12:00:00 AM
McHenry,4,2,0,0,0,0,3/18/2020 12:00:00 AM
McLean,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Menard,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Mercer,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Monroe,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Montgomery,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Morgan,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Moultrie,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Ogle,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Peoria,3,2,0,0,0,0,3/18/2020 12:00:00 AM
Perry,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Piatt,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Pike,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Pope,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Pulaski,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Putnam,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Randolph,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Richland,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Rock Island,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Saline,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Sangamon,3,0,0,0,0,0,3/18/2020 12:00:00 AM
Schuyler,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Scott,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Shelby,0,0,0,0,0,0,3/18/2020 12:00:00 AM
St. Clair,3,1,0,0,0,0,3/18/2020 12:00:00 AM
Stark,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Stephenson,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Tazewell,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Union,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Vermilion,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Wabash,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Warren,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Washington,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Wayne,0,0,0,0,0,0,3/18/2020 12:00:00 AM
White,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Whiteside,1,0,0,0,0,0,3/18/2020 12:00:00 AM
Will,3,1,0,0,0,0,3/18/2020 12:00:00 AM
Williamson,0,0,0,0,0,0,3/18/2020 12:00:00 AM
Winnebago,1,0,0,0,0,0,3/18/2020 12:00:00 AM
Woodford,1,0,0,0,0,0,3/18/2020 12:00:00 AM
Adams,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Alexander,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Bond,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Boone,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Brown,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Bureau,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Calhoun,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Carroll,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Cass,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Champaign,1,0,0,0,0,0,3/19/2020 12:00:00 AM
Chicago,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Christian,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Clark,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Clay,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Clinton,3,0,0,0,0,0,3/19/2020 12:00:00 AM
Coles,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Cook,278,100,0,0,2,1,3/19/2020 12:00:00 AM
Crawford,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Cumberland,1,0,0,0,0,0,3/19/2020 12:00:00 AM
De Witt,0,0,0,0,0,0,3/19/2020 12:00:00 AM
DeKalb,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Douglas,0,0,0,0,0,0,3/19/2020 12:00:00 AM
DuPage,54,9,0,0,0,0,3/19/2020 12:00:00 AM
Edgar,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Edwards,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Effingham,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Fayette,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Ford,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Franklin,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Fulton,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Gallatin,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Greene,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Grundy,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Hamilton,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Hancock,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Hardin,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Henderson,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Henry,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Illinois,422,134,0,0,3,2,3/19/2020 12:00:00 AM
Iroquois,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Jackson,1,1,0,0,0,0,3/19/2020 12:00:00 AM
Jasper,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Jefferson,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Jersey,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Jo Daviess,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Johnson,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Kane,6,2,0,0,0,0,3/19/2020 12:00:00 AM
Kankakee,1,1,0,0,0,0,3/19/2020 12:00:00 AM
Kendall,1,-1,0,0,0,0,3/19/2020 12:00:00 AM
Knox,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Lake,37,19,0,0,0,0,3/19/2020 12:00:00 AM
LaSalle,1,1,0,0,0,0,3/19/2020 12:00:00 AM
Lawrence,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Lee,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Livingston,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Logan,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Macon,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Macoupin,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Madison,1,0,0,0,0,0,3/19/2020 12:00:00 AM
Marion,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Marshall,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Mason,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Massac,0,0,0,0,0,0,3/19/2020 12:00:00 AM
McDonough,0,0,0,0,0,0,3/19/2020 12:00:00 AM
McHenry,6,2,0,0,0,0,3/19/2020 12:00:00 AM
McLean,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Menard,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Mercer,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Monroe,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Montgomery,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Morgan,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Moultrie,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Ogle,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Peoria,3,0,0,0,0,0,3/19/2020 12:00:00 AM
Perry,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Piatt,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Pike,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Pope,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Pulaski,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Putnam,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Randolph,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Richland,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Rock Island,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Saline,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Sangamon,4,1,0,0,0,0,3/19/2020 12:00:00 AM
Schuyler,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Scott,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Shelby,0,0,0,0,0,0,3/19/2020 12:00:00 AM
St. Clair,3,0,0,0,0,0,3/19/2020 12:00:00 AM
Stark,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Stephenson,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Tazewell,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Union,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Vermilion,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Wabash,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Warren,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Washington,1,1,0,0,0,0,3/19/2020 12:00:00 AM
Wayne,0,0,0,0,0,0,3/19/2020 12:00:00 AM
White,0,0,0,0,0,0,3/19/2020 12:00:00 AM
Whiteside,1,0,0,0,0,0,3/19/2020 12:00:00 AM
Will,9,6,0,0,0,0,3/19/2020 12:00:00 AM
Williamson,1,1,0,0,1,1,3/19/2020 12:00:00 AM
Winnebago,1,0,0,0,0,0,3/19/2020 12:00:00 AM
Woodford,2,1,0,0,0,0,3/19/2020 12:00:00 AM
Adams,1,1,0,0,0,0,3/20/2020 12:00:00 AM
Alexander,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Bond,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Boone,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Brown,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Bureau,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Calhoun,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Carroll,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Cass,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Champaign,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Chicago,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Christian,1,1,0,0,0,0,3/20/2020 12:00:00 AM
Clark,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Clay,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Clinton,3,0,0,0,0,0,3/20/2020 12:00:00 AM
Coles,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Cook,411,133,0,0,3,1,3/20/2020 12:00:00 AM
Crawford,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Cumberland,1,0,0,0,0,0,3/20/2020 12:00:00 AM
De Witt,0,0,0,0,0,0,3/20/2020 12:00:00 AM
DeKalb,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Douglas,0,0,0,0,0,0,3/20/2020 12:00:00 AM
DuPage,57,3,0,0,0,0,3/20/2020 12:00:00 AM
Edgar,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Edwards,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Effingham,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Fayette,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Ford,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Franklin,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Fulton,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Gallatin,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Greene,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Grundy,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Hamilton,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Hancock,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Hardin,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Henderson,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Henry,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Illinois,585,163,4286,4286,5,2,3/20/2020 12:00:00 AM
Iroquois,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Jackson,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Jasper,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Jefferson,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Jersey,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Jo Daviess,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Johnson,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Kane,8,2,0,0,0,0,3/20/2020 12:00:00 AM
Kankakee,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Kendall,2,1,0,0,0,0,3/20/2020 12:00:00 AM
Knox,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Lake,53,16,0,0,0,0,3/20/2020 12:00:00 AM
LaSalle,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Lawrence,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Lee,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Livingston,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Logan,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Macon,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Macoupin,0,0,0,0,0,0,3/20/2020 12:00:00 AM
